vehicle,trip_date,trip_start,trip_end,value,miles,delta_miles,delta_days,cumulative_earnings,miles_remaining,initial_value,amount_owed,final_value,depreciation,equity,last_odo,miles_driven,days_driven,miles_per_day,depreciation_per_mile,cumulative_earnings_per_mile,earnings_per_mile
sentra,2025-12-24,2025-12-24 09:00:00,2025-12-31 17:00:00,13740.0,65140,0,8,330.75,84860,13740,14600,13740.0,0.0,-860.0,65140,0,8,0.0,0,0,0
sentra,2026-01-01,2026-01-01 10:00:00,2026-01-04 10:00:00,13690.275,65725,585,12,451.78,84275,13740,14600,13690.275,49.725000000000364,-909.7250000000004,65725,585,12,48.75,0.08500000000000062,0.7722735042735043,0.7722735042735043
sentra,2026-01-04,2026-01-04 15:00:00,2026-01-20 15:00:00,13594.055,66857,1717,28,817.06,83143,13740,14600,13594.055,145.9449999999997,-1005.9449999999997,66857,1717,28,61.32142857142857,0.08499999999999983,0.4758648806057076,0.4758648806057076
sentra,2026-01-21,2026-01-21 13:00:00,2026-01-23 23:30:00,13534.130000000001,67562,2422,31,921.2199999999999,82438,13740,14600,13534.130000000001,205.86999999999898,-1065.869999999999,67562,2422,31,78.12903225806451,0.08499999999999958,0.38035507844756394,0.38035507844756394
sentra,2026-02-12,2026-02-12 10:30:00,2026-02-15 10:30:00,13506.76,67884,2744,54,1098.9199999999998,82116,13740,14600,13506.76,233.23999999999978,-1093.2399999999998,67884,2744,54,50.81481481481482,0.08499999999999992,0.40048104956268216,0.40048104956268216
sentra,2026-02-19,2026-02-19 18:00:00,2026-02-26 18:00:00,13453.465,68511,3371,65,1340.12,81489,13740,14600,13453.465,286.53499999999985,-1146.5349999999999,68511,3371,65,51.86153846153846,0.08499999999999995,0.3975437555621477,0.3975437555621477
sentra,2026-02-27,2026-02-27 10:00:00,2026-03-02 10:00:00,13416.32,68948,3808,69,1479.62,81052,13740,14600,13416.32,323.6800000000003,-1183.6800000000003,68948,3808,69,55.18840579710145,0.08500000000000008,0.3885556722689075,0.3885556722689075
sentra,2026-03-03,2026-03-03 12:00:00,2026-03-06 12:00:00,13379.6,69380,4240,73,1595.7199999999998,80620,13740,14600,13379.6,360.39999999999964,-1220.3999999999996,69380,4240,73,58.082191780821915,0.08499999999999991,0.37634905660377355,0.37634905660377355
sentra,2026-03-07,2026-03-07 10:00:00,2026-03-08 15:00:00,13344.07,69798,4658,75,1679.5099999999998,80202,13740,14600,13344.07,395.9300000000003,-1255.9300000000003,69798,4658,75,62.10666666666667,0.08500000000000006,0.3605646200085873,0.3605646200085873
cx5,2026-02-16,2026-02-16 11:30:00,2026-02-20 18:00:00,17440.0,83917,0,5,219.61,66083,17440,19766,17440.0,0.0,-2326.0,83917,0,5,0.0,0,0,0
cx5,2026-02-21,2026-02-21 09:00:00,2026-02-22 19:30:00,17390.36,84501,584,7,306.81,65499,17440,19766,17390.36,49.63999999999942,-2375.6399999999994,84501,584,7,83.42857142857143,0.084999999999999,0.5253595890410959,0.5253595890410959
